"box","ID","transp","in_","out_","in_duration","out_duration","in_r_pk","out_r_pk","direction_detail","direction","type","time_inside_min","sex","IDmale","firstEgg","date_","rel_day","sleep","start","end","counter","sound_data","channel"
"58",95,"B4X1864","B5D0000000008001",2019-04-25 07:41:40,2019-04-25 07:44:23,115.704,1.77,272874,273169,"O/I|I/o","IN-OUT","v2",2.74616666634878,2,"B4H0784",2019-04-21,2019-04-25,4,0,2019-04-25 07:38:55,2019-04-25 07:47:09,352,1,"1"
"59",95,"B4X1864","B5D0000000008001",2019-04-25 13:42:42,2019-04-25 13:53:38,5.819,5.042,273564,273632,"?/i|I/I","IN-OUT","v2",11.0173666675886,2,"B4H0784",2019-04-21,2019-04-25,4,0,2019-04-25 13:31:40,2019-04-25 14:04:44,353,1,"1"
"60",95,"B4X1864","B5D0000000008001",2019-04-25 14:52:38,2019-04-25 15:14:17,0.786,2.105,273721,273757,"O/I|I/o","IN-OUT","v2",21.6850833336512,2,"B4H0784",2019-04-21,2019-04-25,4,0,2019-04-25 14:30:56,2019-04-25 15:36:00,354,1,"1"
"61",95,"B4X1864","B5D0000000008001",2019-04-25 15:54:03,2019-04-25 16:22:17,0.592,2.701,273794,273815,"O/i|I/O","IN-OUT","v2",28.2783499995867,2,"B4H0784",2019-04-21,2019-04-25,4,0,2019-04-25 15:25:46,2019-04-25 16:50:36,355,1,"1"
"62",95,"B4X1864","B5D0000000008001",2019-04-25 17:10:43,2019-04-25 17:27:13,0.908,4.218,273883,273897,"O/I|I/O","IN-OUT","v2",16.5702999989192,2,"B4H0784",2019-04-21,2019-04-25,4,0,2019-04-25 16:54:08,2019-04-25 17:43:51,356,1,"1"
"63",95,"B4X1864","B5D0000000008001",2019-04-25 19:21:28,2019-04-26 06:07:28,0.803,1.082,273904,273916,"O/i|I/?","IN-OUT","v2",646.018033333619,2,"B4H0784",2019-04-21,2019-04-26,5,1,2019-04-26 05:37:29,2019-04-26 06:37:29,357,1,"1"
"64",95,"B4X1864","B5D0000000008001",2019-04-26 06:57:25,2019-04-26 07:24:32,0.691,2.961,273960,273975,"O/i|I/o","IN-OUT","v2",27.1660166660945,2,"B4H0784",2019-04-21,2019-04-26,5,0,2019-04-26 06:30:15,2019-04-26 07:51:44,358,1,"1"
"65",95,"B4X1864","B5D0000000008001",2019-04-26 08:02:50,2019-04-26 08:20:22,1.116,5.826,273982,274004,"O/i|I/O","IN-OUT","v2",17.6304333329201,2,"B4H0784",2019-04-21,2019-04-26,5,0,2019-04-26 07:45:12,2019-04-26 08:38:05,359,1,"1"
"66",95,"B4X1864","B5D0000000008001",2019-04-26 16:35:07,2019-04-26 17:13:56,1.39,5.737,274166,274173,"O/I|I/O","IN-OUT","v2",38.9122833331426,2,"B4H0784",2019-04-21,2019-04-26,5,0,2019-04-26 15:56:12,2019-04-26 17:52:56,360,1,"1"
"67",95,"B4X1864","B5D0000000008001",2019-04-26 17:40:04,2019-04-26 18:14:53,0.967,2.542,274195,274226,"O/I|I/o","IN-OUT","v2",34.8590333342552,2,"B4H0784",2019-04-21,2019-04-26,5,0,2019-04-26 17:05:12,2019-04-26 18:49:47,361,1,"1"
"68",95,"B4X1864","B5D0000000008001",2019-04-26 18:19:19,2019-04-26 18:34:49,0.742,4.898,274235,274252,"O/I|I/o","IN-OUT","v2",15.5816333333651,2,"B4H0784",2019-04-21,2019-04-26,5,0,2019-04-26 18:03:44,2019-04-26 18:50:28,362,1,"1"
"69",95,"B4X1864","B5D0000000008001",2019-04-26 18:41:45,2019-04-26 18:51:57,0.792,2.862,274259,274266,"O/i|I/o","IN-OUT","v2",10.2476999998093,2,"B4H0784",2019-04-21,2019-04-26,5,0,2019-04-26 18:31:30,2019-04-26 19:02:14,363,1,"1"
"70",115,"B4P9328","6220000000008001",2019-04-14 19:36:36,2019-04-15 06:19:26,1.553,2.643,769847,769895,"O/I|I/O","IN-OUT","v2",642.877383331458,2,"B4P8414",2019-04-12,2019-04-15,3,1,2019-04-15 05:49:28,2019-04-15 06:49:28,96,1,"1"
"71",115,"B4P9328","6220000000008001",2019-04-15 06:32:40,2019-04-15 06:50:50,1.578,6.158,769900,769914,"O/I|I/I","IN-OUT","v2",18.2692999998728,2,"B4P8414",2019-04-12,2019-04-15,3,0,2019-04-15 06:14:23,2019-04-15 07:09:12,97,1,"1"
"72",115,"B4P9328","6220000000008001",2019-04-15 19:48:08,2019-04-16 06:14:04,0.757,4.311,770001,770026,"?/I|I/O","IN-OUT","v2",626.005183335145,2,"B4P8414",2019-04-12,2019-04-16,4,1,2019-04-16 05:44:08,2019-04-16 06:44:08,98,1,"1"
"73",115,"B4P9328","6220000000008001",2019-04-16 06:27:11,2019-04-16 06:42:19,3.144,3.72,770033,770065,"O/I|I/O","IN-OUT","v2",15.1953333338102,2,"B4P8414",2019-04-12,2019-04-16,4,0,2019-04-16 06:11:59,2019-04-16 06:57:34,99,1,"1"
