*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box09_085600_final2.wav;1:02:17.669; 0.907;2.562.500;7.750.000;male vocalizing;5;box9_01042019;-29.51
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box09_085600_final2.wav;1:02:25.651; 0.508;2.750.000;8.250.000;2, calls;3;box9_01042019;-46.56
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:53:16.834; 0.880;4.250.000;7.687.500;2, calls;at nestbox;box174_03042019;25.86
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:54:37.941; 0.680;4.312.500;8.000.000;2, calls;at nestbox opening;box174_03042019;-37.38
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:12:09.088; 0.608;6.437.500;8.625.000;2, calls;2 m above;box174_03042019;-47.50
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:12:15.537;1.007;4.375.000;7.562.500;2, calls;2 m above;box174_03042019;-42.74
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:19:06.794;4.317;3.875.000;8.500.000;2, calls;12 m;box174_03042019;-48.41
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:20:00.599; 0.753;2.937.500;8.125.000;2, calls;10 m;box174_03042019;-40.96
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box12_095600_final2.wav;0:11:35.927; 0.272;3.312.500;8.000.000;start;;box12_01042019;
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box12_095600_final2.wav;0:20:25.125;2.939;3.812.500;9.000.000;nh;;box12_01042019;-44.83
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box12_095600_final2.wav;1:08:56.708;1.134;4.625.000;8.000.000;nh;;box12_01042019;50.19
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:27:15.120;43.302;3.812.500;8.687.500;nh;;box174_03042019;-42.26
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:22:26.549;1.760;3.125.000;8.812.500;nh;;box174_03042019;-45.52
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:30:24.010;1.648;4.062.500;8.125.000;nh;;box174_03042019;-53.37
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:30:52.262;1.018;3.937.500;7.000.000;nh;;box174_03042019;-46.01
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:31:51.935;1.162;3.812.500;8.375.000;nh;;box174_03042019;-47.00
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:32:28.023;1.243;3.000.000;8.187.500;nh;;box174_03042019;-42.88
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:38:23.064;1.381;4.375.000;8.875.000;nh;;012_110419;-50.85
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:52:42.479;1.117;4.500.000;8.812.500;nh;;012_110419;-52.36
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;1:19:18.733;1.889;4.062.500;8.687.500;nh;;012_110419;-46.08
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;1:20:31.261;1.791;4.312.500;8.937.500;nh;;012_110419;-45.14
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;1:22:05.305;2.242;4.375.000;8.687.500;nh;;012_110419;-44.32
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;1:22:15.794;2.397;4.375.000;9.125.000;nh;;012_110419;-41.95
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;1:22:17.092;2.467;4.625.000;8.500.000;nh;;012_110419;-42.10
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box9_095800_final2.wav;0:04:16.490;1.397;4.062.500;8.187.500;nh;;009_150419;-41.71
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box9_095800_final2.wav;0:11:44.771;1.751;3.187.500;8.812.500;nh;;009_150419;-46.06
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box174_084000_final2.wav;0:05:56.027;1.524;3.562.500;8.125.000;nh;;174_150419;-55.98
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box174_084000_final2.wav;0:06:27.202;21.152;3.562.500;7.750.000;nh;;174_150419;-51.38
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box174_084000_final2.wav;0:51:10.658;1.188;3.875.000;8.125.000;nh;;174_150419;-49.70
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box174_084000_final2.wav;0:56:28.435;6.993;4.062.500;8.500.000;nh;;174_150419;-48.23
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box174_084000_final2.wav;0:57:39.057;19.936;3.937.500;9.375.000;nh;;174_150419;-50.16
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box174_084000_final2.wav;1:04:29.941;1.297;3.562.500;8.125.000;nh;;174_150419;-45.52
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box174_084000_final2.wav;1:04:31.728;2.086;3.812.500;9.125.000;nh;;174_150419;-51.13
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box197_092804_final2.wav;0:04:31.991;1.805;3.625.000;8.187.500;nh;;197_150419;-40.30
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box197_092804_final2.wav;0:05:10.812;1.941;3.812.500;8.625.000;nh;;197_150419;-35.55
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box197_092804_final2.wav;0:14:41.324;6.213;4.062.500;8.812.500;nh;;197_150419;-44.56
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box197_092804_final2.wav;0:20:24.372;6.893;3.625.000;9.125.000;nh;;197_150419;-43.83
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-16_box174_081000_final2.wav;0:28:10.186; 0.880;3.875.000;8.875.000;nh;;174_160419;-48.85
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-16_box174_081000_final2.wav;0:31:09.578;22.422;3.562.500;10.062.500;nh;;174_160419;-41.80
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-16_box174_081000_final2.wav;0:34:34.422;2.014;3.687.500;8.812.500;nh;;174_160419;-51.73
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-16_box174_081000_final2.wav;0:55:09.815;2.262;4.125.000;8.437.500;nh;;174_160419;-38.16
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-17_box197_085404_final2.wav;0:09:54.685;1.197;4.125.000;8.875.000;nh;;197_170419;-50.85
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-17_box197_085404_final2.wav;0:23:21.016;9.088;3.000.000;8.187.500;nh;;197_170419;-43.13
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-17_box197_085404_final2.wav;0:46:22.957;12.571;4.812.500;8.500.000;nh;;197_170419;-42.24
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-17_box197_085404_final2.wav;0:53:33.352;1.642;3.562.500;9.125.000;nh;;197_170419;-50.68
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-17_box197_085404_final2.wav;0:58:21.578;1.478;3.812.500;7.812.500;nh;;197_170419;-44.57
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box12_095600_final2.wav;1:11:25.787; 0.599;4.312.500;6.125.000;end;;box12_01042019;
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:57:09.751;2.331;3.812.500;7.562.500;-2;;box174_03042019;-53.19
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:58:04.082;1.224;4.250.000;8.250.000;-2;;box174_03042019;-51.30
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:58:51.510;1.596;4.250.000;7.062.500;-2;;box174_03042019;-49.64
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:59:33.823;1.805;3.937.500;8.625.000;-2;;box174_03042019;-56.71
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;0:59:38.721;1.950;3.812.500;8.625.000;-2;;box174_03042019;-49.78
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:01:28.762;1.279;4.125.000;9.187.500;-2;;box174_03042019;-47.61
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:01:54.204; 0.952;4.125.000;7.312.500;-2;;box174_03042019;-52.70
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:02:02.467;2.395;3.875.000;7.125.000;-2;;box174_03042019;-43.70
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:02:08.871;1.742;3.687.500;8.812.500;-2;;box174_03042019;-41.55
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:02:11.882;1.950;3.875.000;8.812.500;-2;;box174_03042019;-47.75
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:02:25.642;1.660;4.250.000;8.687.500;-2;;box174_03042019;-50.39
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box174_083000_final2.wav;1:03:53.878;1.043;4.125.000;7.312.500;-2;;box174_03042019;-48.44
