"box","ID","time_inside_min","in_","out_","out_duration","sleep","counter","direction_reliable","overlap","rel_day","start","end","type","DB","no_song","no_calls","noYN","noCallsYN","N","f_type","no_vocs","noVocsYN","f_noYN","no_mins_song","no_mins_calls","no_mins_vocs","song_per_time","calls_per_time","vocs_per_time","date_","hour_of_out"
"62",19,"B4X1875",647.196216666698,2019-04-16 19:51:10,2019-04-17 06:38:19,2.773,-1,1149,1,1,-1,2019-04-16 19:37:00,2019-04-16 20:05:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-17,6
"63",19,"B4X1875",647.196216666698,2019-04-16 19:51:10,2019-04-17 06:38:19,2.773,-1,1149,1,1,-1,2019-04-16 19:37:00,2019-04-16 20:05:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-04-17,6
"64",19,"B4X1875",637.806033333143,2019-04-18 19:57:45,2019-04-19 06:35:30,3.362,-1,1150,1,1,1,2019-04-18 19:43:00,2019-04-18 20:11:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-04-19,6
"65",19,"B4X1875",637.806033333143,2019-04-18 19:57:45,2019-04-19 06:35:30,3.362,-1,1150,1,1,1,2019-04-18 19:43:00,2019-04-18 20:11:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-19,6
"66",19,"B4X1875",637.806033333143,2019-04-18 19:57:45,2019-04-19 06:35:30,3.362,-1,1150,1,1,1,2019-04-18 19:43:00,2019-04-18 20:11:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-04-19,6
"67",21,"B4P9561",672.989783334732,2019-04-10 19:49:01,2019-04-11 07:02:00,0.387,1,121,0,1,0,2019-04-11 06:32:00,2019-04-11 07:31:59,"during",-30,110,37,1,1,30,"during",147,1,"1",22,9,24,3.66666666666667,1.23333333333333,4.9,2019-04-11,7
"68",21,"B4P9561",672.989783334732,2019-04-10 19:49:01,2019-04-11 07:02:00,0.387,1,121,0,1,0,2019-04-11 06:32:00,2019-04-11 07:31:59,NA,-30,3,2,1,1,1,NA,5,1,"1",1,1,1,0.1,0.0666666666666667,0.166666666666667,2019-04-11,7
"69",21,"B4P9561",672.989783334732,2019-04-10 19:49:01,2019-04-11 07:02:00,0.387,1,121,0,1,0,2019-04-11 06:32:00,2019-04-11 07:31:59,"after",-30,0,1,0,1,29,"after",1,1,"0",0,1,1,0,0.0333333333333333,0.0333333333333333,2019-04-11,7
"70",21,"B4P9561",8.86661666631699,2019-04-11 08:31:52,2019-04-11 08:40:42,1.997,0,122,1,1,0,2019-04-11 08:23:00,2019-04-11 08:48:59,"before",-30,1,0,1,0,8,"before",1,1,"1",1,0,1,0.11278259088372,0,0.11278259088372,2019-04-11,8
"71",21,"B4P9561",8.86661666631699,2019-04-11 08:31:52,2019-04-11 08:40:42,1.997,0,122,1,1,0,2019-04-11 08:23:00,2019-04-11 08:48:59,NA,-30,0,0,0,0,2,NA,0,0,"0",0,0,0,0,0,0,2019-04-11,8
